audio_path,grammar,vocabulary,content,absolute_path,subfolder,text,question_type,pronunciation,fluency,final,exists,text_small
audio/HUST6923DQQK166/HUST0609230124-3.ogg,6.5,7.0,6.5,/mnt/son_usb/DATA_Vocal/CD13_2/audio/HUST6923DQQK166/HUST0609230124-3.mp3,CD13_2," There's a good way to reduce the consumption of the textbooks. And I think more people have switched to textbooks for their main view. I think it's a big advantage and also an advantage. First of all, the advantage is the textbook is complaining in the mail. Because I can eat real amount and can't eat much. And he is avoiding getting too hungry because I can eat everything I want. The textbook score ... ... [REPEAT] You can eat fried chicken, hamburger, but not too much. And you can consider it's the main meal. So when you can eat a lot of food, it makes you all. If you can't eat fried chicken, you can eat fried chicken. You can eat fried chicken with a lot of food. And if you can't eat fried chicken, you can eat fried chicken with a lot of food. This is a good way to reduce the consumption of fast food. I agree with that opinion because fast food makes a lot of food every year, every day. So the fate of that food is garbage. It's to waste the waste. So if you test the season on the junk food, it's to keep the control of the amount of the food after they reduce the consumption of fast food. It is my opinion.",3,,,,," There's a good way to reduce the consumption of the textbooks. And I think more people have switched to textbooks for their main view. I think it's a big advantage and also an advantage. First of all, the advantage is the textbook is complaining in the mail. Because I can eat real amount and can't eat much. And he is avoiding getting too hungry because I can eat everything I want. The textbook score ... ... [REPEAT] You can eat fried chicken, hamburger, but not too much. And you can consider it's the main meal. So when you can eat a lot of food, it makes you all. If you can't eat fried chicken, you can eat fried chicken. You can eat fried chicken with a lot of food. And if you can't eat fried chicken, you can eat fried chicken with a lot of food. This is a good way to reduce the consumption of fast food. I agree with that opinion because fast food makes a lot of food every year, every day. So the fate of that food is garbage. It's to waste the waste. So if you test the season on the junk food, it's to keep the control of the amount of the food after they reduce the consumption of fast food. It is my opinion."
audio/HUST111223FIAI177/HUST1112230160-1.ogg,4.0,4.0,4.0,/mnt/son_usb/DATA_Vocal/CD14_2/audio/HUST111223FIAI177/HUST1112230160-1.mp3,CD14_2," Hello, I am Shenmink Time. Now I going talk about Vue Lenguk. I don't every Vue Lenguk before. It is common to foreign work in my country. Why? It make me reduce stress after work and study everyday. I get from doing Vue Lenguk is I am going to talk about noisy. Just I mind noisy. It is good. It is make me reduce stress after work and study everyday. The tip of policy who I come across in job daily life is I read a book. In my house. Just I do I think there is to mark policy in the modern. It is make me boring and tired. It is make me boring and tired.",1,,,,,
audio/HUST4423YBSN166/HUST0404230153-2.ogg,5.0,6.0,5.5,/mnt/son_usb/DATA_Vocal/CD8_2/audio/HUST4423YBSN166/HUST0404230153-2.mp3,CD8_2, I think just club is bad for your friend's son. Reading is a easy activity. But her son has to read in school many times. Reading is a boring activity. Guitar is also a good activity. But playing the guitar is difficult. It is not also interesting. Chess Club is my best opinion. Because chess is a game. All the children are interested in chess. Chess will help her son improve your logic. And make him happy after school. I finished your answers.,2,,,,,
audio/HUST6923V6BY167/HUST0609230028-2.ogg,5.0,6.0,6.0,/mnt/son_usb/DATA_Vocal/CD13_1/audio/HUST6923V6BY167/HUST0609230028-2.mp3,CD13_1," Now I'm going to talk about how my 70th great nephew spent his summer holiday. His three subjects are joining a summer camp, talking with a summer school, or staying with his grandparents in the Ganshi. In my opinion, staying with his grandparents is a bad choice because of the following reasons. Firstly, he is the person's love grandparent. So in summer holidays, you can talk about more time, talk about with grandparent or closest. And I think he is being very confident and relaxed. There is a reason why I don't choose other options, joining a summer camp. I think if he is very dangerous, then it's because he is taken by a teacher or parents. The second option is taking a summer school. I think this is not suitable for him because he doesn't like taking a summer school. If he is very convenient, then he is relaxed. To sum up, if I was his reason, staying with his best child.",2,,,,,
audio/HUST281123Q63S166/HUST2811230016-2.ogg,4.0,4.0,4.0,/mnt/son_usb/DATA_Vocal/CD17_1/audio/HUST281123Q63S166/HUST2811230016-2.mp3,CD17_1," I would like to talk the best way to take notes in class. There are three things I think regarding the teacher nature is best choice for me. It is called... It is very... It is very fast. It is hard to... To note teacher nature, You can... You can... You can put them every time it... When you want it is enough, clone it and information for you. You can save a long time. Also, two options, taking notes in Spanish or taking notes by phone, tablet, iPad is well. But, my choice... But regarding the teacher nature is a bad choice for me.",2,,,,,
audio/HUST111223RERA177/HUST1112230074-1.ogg,6.0,6.0,6.0,/mnt/son_usb/DATA_Vocal/CD14_1/audio/HUST111223RERA177/HUST1112230074-1.mp3,CD14_1," Now I would like to talk about direct surgery. For the first question, do I often use direct surgery? Yes, I usually use direct surgery. I use it for English to recovering new work. Do you prefer online direct surgery or paper one? I like online direct surgery because it is so convenient. I will click on the website and look for some keywords. For the third question, what kind of direct surgery do I think are useful? I think direct surgery is about language because it helps me learn new language. Now I would like to talk about my morning. For the first question, what do I often do in the morning? In the morning, I often wake up at 6 AM. After that, I break my teeth and wipe my face. I listen to music and drink some coffee. After that, I go to work. For the second question, do I do the same thing every morning? I was in the night after high-working. For the third question, what is the most popular activity for people in my country in the morning? I find in my country in the morning, I find a lot of people do exercise. They usually go around the leg.",1,,,,,
audio/HUST4523I2KC166/HUST0405230043-2.ogg,6.5,7.0,6.5,/mnt/son_usb/DATA_Vocal/CD9_1/audio/HUST4523I2KC166/HUST0405230043-2.mp3,CD9_1," If one of my cousin is very bullied at school, I consider about three options that are talk to his teacher, talk to his parents, or talk with his friends. I think I will choose the first option, talk to his teacher, because I think big teacher will see the big picture, why my cousin is bullied, or who is bullied by my cousin. And the teacher will give the right way to solve that problem. Secondly, I think it is the responsibility of the teacher and the school. They have to solve the problem in their school. And I let the parent and make the parent of my cousin to have time to do the talk. And about talk to his parents, I think it is maybe the love and emotion of the parent can impact to the decision. And it is always with his friends, it is strict because his friend maybe had to fight with the guy who bullied my cousin. And I think it is the responsibility of the teacher and the school to have time to talk to his parents. And I think it is the responsibility of the teacher and the school to have time to talk to his parents.",2,,,,," If one of my cousin is very bullied at school, I consider about three options that are talk to his teacher, talk to his parents, or talk with his friends. I think I will choose the first option, talk to his teacher, because I think big teacher will see the big picture, why my cousin is bullied, or who is bullied by my cousin. And the teacher will give the right way to solve that problem. Secondly, I think it is the responsibility of the teacher and the school. They have to solve the problem in their school. And I let the parent and make the parent of my cousin to have time to do the talk. And about talk to his parents, I think it is maybe the love and emotion of the parent can impact to the decision. And it is always with his friends, it is strict because his friend maybe had to fight with the guy who bullied my cousin. And I think it is the responsibility of the teacher and the school to have time to talk to his parents. And I think it is the responsibility of the teacher and the school to have time to talk to his parents."
audio/HUST311023JNFX166/HUST3110230010-2.ogg,6.0,6.0,5.0,/mnt/son_usb/DATA_Vocal/CD16_1/audio/HUST311023JNFX166/HUST3110230010-2.mp3,CD16_1," In my opinion, Otay is a bad choice because of the following reasons. First and foremost, Otay is a special gift. First and foremost, he likes Otay and I think that Otay can make him stand out and be confident. The main reason why I don't choose other options is because I think they are not suitable for him. If I choose the right option, I would choose Otay due to his I think Otay can make him stand out and be confident. I think Otay can make him stand out and be confident. [REPEAT] ",2,,,,,
audio/HUST311023PTXC166/HUST3110230109-1.ogg,5.0,5.0,5.0,/mnt/son_usb/DATA_Vocal/CD16_2/audio/HUST311023PTXC166/HUST3110230109-1.mp3,CD16_2," I'm going to talk about foreign language. The first question what foreign language do I speak? Why? My foreign language do I speak is language because it is a international language and people around the world use English to study and work. Do I enjoy learning foreign language? Why? Why not? How important is it to learn a foreign language? Why? Do I enjoy learning foreign language? Why not? Yes, I like learning foreign language because it helps me to know about I'm going to talk about the situation of communicate with other. What's the first question? What is my favorite way to communicate with other? My favorite way to communicate with my friends is to communicate with other. My favorite way to communicate with other is phone calls because it is easy to use. Do I prefer sending text messages to talk on the phone with my friends? Why? Yes, I prefer sending text messages to talk on the phone with my friends because this is so easy to use and we can talk about mainly everything about our life. What are the benefits of way to communicate?",1,,,,,
audio/HUST6923SVUI167/HUST0609230678-2.ogg,4.0,4.0,3.0,/mnt/son_usb/DATA_Vocal/CD13_7/audio/HUST6923SVUI167/HUST0609230678-2.mp3,CD13_7,you you [REPEAT] I'm going to talk about the situation Your power my friend. I'm going to celebrate their wedding anniversary in a quick My one give them a present Come on three options a couple of movie to keep a program of Flowers and handmade cut I think Idea a couple I think idea a handmade cut is pet choice The reason why I choose I choose it I thought because I Think Handmade cut Is In my a Big look for you for my parent So The idea a couple of movie ticket he is quite But not it not choice not my choice I this idea of a real quick of our he good,2,,,,,
audio/HUST11123U16H166/HUST1101230008-3.ogg,5.0,5.0,6.0,/mnt/son_usb/DATA_Vocal/CD5/audio/HUST11123U16H166/HUST1101230008-3.mp3,CD5," Some people prefer fast food because of several benefits. I think Richmond host them to consume more fast food because they have busy work hard so they can every time to cook. How fast food changes people eating habits in the past few years? Fast food has changed people eating habits in past few years. For example, people can save time, save money when they benefit from fast food. How fast food changes people eating habits in the past few years? What are some disadvantages? We can buy many fast food, every time. When we cut many fast food, we have many countries. So, beneficial food is very good starter. Also, beneficial food is very good. How fast food changes people eating habits in the past few years? Not good for me. Maybe, let me teach. We can wait How fast food changes people eating habits in the past few years? How fast food changes people eating habits in the past few years? [REPEAT] ",3,,,,,
audio/HUST4423NA1U167/HUST0404230077-3.ogg,6.5,6.5,7.0,/mnt/son_usb/DATA_Vocal/CD8_1/audio/HUST4423NA1U167/HUST0404230077-3.mp3,CD8_1," Some people say that games are useful in the classroom because of many reasons. The fourth reason is very fun because many games build with many colorful image and fun image. So that when we play it, it mix with the music and visual action of the character in the game. So it bring us many funnies. Secondly, the game also make us creative. Because in the game, we have some action and some tag that you can apply on your study. The third reason is game make us interaction. It is interaction between people and teachers or among students together. Because when you do a game, you have to interact together and do together to get the win or to get the best prize. So it requires that among members have a good interaction. The other advantage of playing games in the classroom is that we can rewrite between straightforward study. And it also to a way to help us to study the content of the subject easier. Some people say that in game these people about life and I totally agree with this opinion. Because in game, teachers or makers will make the content that they want to deliver for students. And from that, the student can study and develop your ability and your way to look the life. In conclusion, classroom game bring us many advantages.",3,,,,," Some people say that games are useful in the classroom because of many reasons. The fourth reason is very fun because many games build with many colorful image and fun image. So that when we play it, it mix with the music and visual action of the character in the game. So it bring us many funnies. Secondly, the game also make us creative. Because in the game, we have some action and some tag that you can apply on your study. The third reason is game make us interaction. It is interaction between people and teachers or among students together. Because when you do a game, you have to interact together and do together to get the win or to get the best prize. So it requires that among members have a good interaction. The other advantage of playing games in the classroom is that we can rewrite between straightforward study. And it also to a way to help us to study the content of the subject easier. Some people say that in game these people about life and I totally agree with this opinion. Because in game, teachers or makers will make the content that they want to deliver for students. And from that, the student can study and develop your ability and your way to look the life. In conclusion, classroom game bring us many advantages."
audio/HUST310232R9M166/HUST0310230201-3.ogg,4.0,4.0,3.0,/mnt/son_usb/DATA_Vocal/CD15_3/audio/HUST310232R9M166/HUST0310230201-3.mp3,CD15_3,you you [REPEAT] it is podcast animal play an important role in our life nowadays an increasing number of people concerned about animal I'm going to talk about the situation there are several different keep the animal in June firstly if I will attack anymore a lot freedom lot of freedom therefore it eating not to any more secondly it is fact that people care people are like of space as it is helpful to any more finally we can not deny that any more like of survival skew so it negative effect on animal I think three idea of all our comprehensive I don't think of all the idea to sum up if I were in the situation I'm looking good for there are several event of keeping animal in the kind of animal I usually keep on the monkey cause they are the benefit of keeping animal people can get knowledge ah people can realize PC don't cut out people don't cut out she don't let the you,3,,,,,
audio/HUST6923MMJ3177/HUST0609230284-3.ogg,3.0,3.0,3.0,/mnt/son_usb/DATA_Vocal/CD13_3/audio/HUST6923MMJ3177/HUST0609230284-3.mp3,CD13_3," Hello, I'm Hung, I come from Vietnam. Vietnam is a tropical country, has a lot of rain and storm. So in my point of view, the tribe should be brand in my country is 4G This need to be branded in the mountain It could, it will be make better environment for my country It can reduce the affect of the storms The mountains for I think that forestry should be should become a subject in school because a lot of people cut out these trees in the forest. They must know that this tree This tree can affect to environment and our lives",3,,,,,
audio/HUST44237SIU166/HUST0404230230-1.ogg,3.0,3.0,3.0,/mnt/son_usb/DATA_Vocal/CD8_3/audio/HUST44237SIU166/HUST0404230230-1.mp3,CD8_3," I often update on newspaper. I can see on morning and with a cup of coffee. When I read on newspaper, I can... I was really interested in knowing newspaper. I usually read finance on newspaper. I think important update news is that today I can go out. I usually in my first time, I can feel happy and comfortable in the morning. I don't travel by train. I usually travel by plane. I think in the country, the cuddling has changed a bit. I don't travel by train.",1,,,,,
audio/HUST6923LKZ9177/HUST0609230610-1.ogg,6.0,6.0,6.0,/mnt/son_usb/DATA_Vocal/CD13_6/audio/HUST6923LKZ9177/HUST0609230610-1.mp3,CD13_6, yeah I really really like flowers my favorite flowers is sunflowers yeah do any flowers have a special meaning in your country yeah I think flowers really do the meanings such as the rose is for love and the sunflowers what I like is show for the powerful of the mind you no I don't really enjoy my childhood it's all seem to be boring because I have to stay at home all day you in childhood I really I really like watch cartoon on TV you the thing that I remember most about my childhood is when my mom buy me whatever I want I can see that she left me too much that touched me and it really in my mind forever that's the end of my speaking,1,,,,,
audio/HUST310232R9M167/HUST0310230236-3.ogg,3.0,3.0,3.0,/mnt/son_usb/DATA_Vocal/CD15_3/audio/HUST310232R9M167/HUST0310230236-3.mp3,CD15_3," Hello my teacher, my name is Ken. I am a student at Hanoi University of Science and Technology. I come from Waifu province. Today I talk about Jesus as an essential for the existence of human beings. Some people believe that Jesus as an essential for the essence of human beings. Firstly, the root cells of food. Secondly, better environment. Thirdly, an utility. To sum up, Jesus as an essential for the existence of human beings. Now, I will answer a lot of questions. I do not need to answer all the questions. Tice of cheese shall be planted in your country. I think that false chai shall become a subject in school. Thus, the attitude is towards chu planting among different generations in my country. I think that Jesus is a root cell of food. Tice of cheese should be planted in my country. Better environment. And utility. The attitude towards chu planting among different generations in my country. Cheese are important with my life. Tice of cheese should be planted in my country. Cheese are free of root cells of food. Better environment and utility. I love Jesus very much. Thank you.",3,,,,,
audio/HUST6723H9GJ167/HUST0607230038-1.ogg,4.0,4.0,4.0,/mnt/son_usb/DATA_Vocal/CD11_1/audio/HUST6723H9GJ167/HUST0607230038-1.mp3,CD11_1," Good morning, teachers. I will talk about the room in my home. My favorite room in my home is the living room, Biscott. It is a common place where my family members enjoy the time together after hard work kick-back. In the living room, my family members often watch TV and listen to music and chat with others about many things in life. If I have money, I want to change something in my room. I want to buy a new household and repaint the world with bright colors. Besides, I want to arrange furniture. I will talk about maps. Yes, I use maps every day. I prefer electronic maps because it is convenient to use a mobile phone. Anywhere. I think if people can easily...",1,,,,,
audio/HUST6923DQQK177/HUST0609230180-2.ogg,5.5,5.0,5.5,/mnt/son_usb/DATA_Vocal/CD13_2/audio/HUST6923DQQK177/HUST0609230180-2.mp3,CD13_2," My suggestion is that I will go to attend my Renee's Tea wedding. There are three following recent options. Asagatas for the wedding gifts, money that they will read and kubu clothes. In my opinion, I think kubu clothes is a bad choice for the following reason. The first reason is that it is easy to buy and easy to collect. The second reason is that I think kubu clothes is cheaper than other kinds of gifts. On the other hand, I don't choose to buy because I don't know that and I don't know it. I don't think it's the best choice. I don't have much money so I can't give money for them. In source, I think kubu clothes is my best choice for the following reason. I have a mention above. This is my answer for the question. I'm Renee to the lake patch. Thank you for listening. Oh, Renee's next to me. What are you saying?",2,,,,,
audio/HUST311023LSQF167/HUST3110230238-1.ogg,5.5,5.5,5.5,/mnt/son_usb/DATA_Vocal/CD16_3/audio/HUST311023LSQF167/HUST3110230238-1.mp3,CD16_3," I usually play football with my friends on weekends because people help me feel happy. I also play football with my friends on weekends because people help me feel happy. When people go to the city centre, I can watch movies in the cinema and people are very famous in the country centre. I like to play football with my friends and I love them. I like to play football with my friends on weekends because people help me feel happy. I like to help people, my father, my mother and my brother. I personally have my best friend. I usually play football and watch TV with my family. It helps me feel happy. I like to play football with my friends on weekends because people help me feel happy.",1,,,,,
